editorid,name
76387,"Heckert, James T."
76442,"Hedland, Robert W."
76536,"Hegedus, Chris"
76638,"Heim, Alan"
76775,"Heitner, David"
76813,"Helde, John"
76836,"Helfrich, Mark"
76962,"Helsing, Kristen"
77063,"Henderson, Alastair"
77131,"Henderson, Wilt (I)"
77234,"Henighan, Craig"
77262,"Henmi, Toshio"
77310,"Hennings, Barbara"
77442,"Henry, William (III)"
77485,"Henson, Robby"
77604,"Heredia, Paula"
78115,"Herring, Craig"
78119,"Herring, Pembroke J."
78254,"Hess, Augie"
78323,"Hester, Mark A."
78485,"Hiatt, Vicki"
78509,"Hickenlooper, George"
78554,"Hickox, Emma E."
78555,"Hickox, James D.R."
78861,"Hill, Dennis M."
78898,"Hill, Jimmy (II)"
78934,"Hill, Mike (I)"
79043,"Hillmann, Alfred"
79083,"Hilton, Arthur"
79120,"Himm, Carl"
79126,"Himoff, Kathryn"
79191,"Hines, Suzanne"
79319,"Hirakubo, Masahiro"
79376,"Hirsch, Paul (I)"
79379,"Hirsch, Tina"
79429,"Hiscott, Richard"
79467,"Hitner, Harry"
79478,"Hively, George (I)"
79479,"Hively, George (II)"
79579,"Hoagland, Ellsworth"
79768,"Hodgson, Leslie"
79774,"Hodgson, Paul (I)"
79834,"Hoenig, Dov"
79855,"Hoey, Michael A."
79901,"Hoffman, Bud"
80004,"Hoffmann, Sabine"
80048,"Hofstra, Jack"
80100,"Hoggatt, Dawn"
80192,"Holden, David (I)"
80294,"Holland, Rodney (I)"
80410,"Hollyn, Norman"
80415,"Hollywood, Peter"
80454,"Holmes, Christopher (II)"
80458,"Holmes, Darren T."
80472,"Holmes, John W."
80585,"Holt, Seth"
80716,"Honess, Peter"
80771,"Hong, Yuan"
81048,"Horger, John C."
81096,"Horn, Karen"
81113,"Hornbeck, William"
81254,"Horton, Michael (II)"
81284,"Horvitch, Andy"
81321,"Hosler, Ernest"
81470,"Housen, Phyllis"
81589,"Howard, John C."
81609,"Howard, Moe (II)"
81726,"Howie, Niven"
81749,"Hoy, Maysie"
81755,"Hoy, William"
81989,"Hubbard, Lucien"
82059,"Hubinon, Michèle"
82065,"Hubley, Ray"
82270,"Huggins, Erica"
82272,"Huggins, Jere"
82431,"Huguet, Marthe"
82523,"Hulme, Andrew"
82613,"Humphreys, Ned"
82738,"Hunt, Peter R. (I)"
82811,"Hunter, Marian Sears"
82814,"Hunter, Martin (I)"
82861,"Huot, Gaétan"
83171,"Hutshing, Gillian L."
83172,"Hutshing, Joe"
83309,"Hyett, Wayne"
83340,"Hymans, Chantal"
83714,"Igel, Rachel"
83753,"Ignacio, Marya"
83899,"Ilié, Véronique"
84106,"Inge, Joe"
84114,"Ingemarsson, Sylvia"
84203,"Innes, Louise"
84229,"Inoue, Shinya (I)"
84350,"Ireland, Charles (I)"
84701,"Ita, Yutaka"
84914,"Iwashita, Kôichi"
85040,"Jablow, Michael"
85141,"Jackson, Doug (III)"
85238,"Jackson, Peter (I)"
85286,"Jackson-Hamlett, Armetta"
85540,"Jaffe, Gib"
85541,"Jaffe, Jane Schwartz"
85561,"Jaggs, Alan"
85565,"Jaglom, Henry"
85663,"Jakonic, Petar"
85672,"Jakubowicz, Alain"
85885,"James, Steve (II)"
86263,"Jarmusch, Jim"
86301,"Jarvis, Edward B."
86399,"Javet, Françoise"
86636,"Jelinski, Manfred O."
86663,"Jenet, Veronika"
86697,"Jenkins, Eric (I)"
87129,"Jimenez, Frank E."
87286,"Joanou, Phil"
87300,"Jobin, Victor"
87525,"Johnson, Bill (IV)"
87537,"Johnson, Brian (VIII)"
87731,"Johnson, Jed"
87878,"Johnson, Olivia N."
87963,"Johnson, Stanley E."
88418,"Jones, Jeff (II)"
88473,"Jones, Leslie (I)"
88568,"Jones, Robert C. (I)"
88746,"Jordan, Bert"
88778,"Jordan, Lawrence (I)"
88788,"Jordan, Murray"
88792,"Jordan, Paul (I)"
88884,"Joseph, Albrecht"
88990,"Jost, Jon"
89126,"Juaniz, Julia"
89190,"Judson, Stephen"
89196,"Juergens, Mark"
89223,"Julia, Javier"
89381,"Jurgens, Marc"
89385,"Jurgenson, Albert"
89495,"Jympson, John"
89817,"Kahn, Michael (I)"
89824,"Kahn, Sheldon"
89839,"Kai, Kit-Wai"
89907,"Kakesu, Shûichi"
90017,"Kalish, Ron (I)"
90168,"Kamen, Jay"
90354,"Kaneko, Reiko"
90370,"Kanew, Jeff"
90458,"Kantor, Igo"
90714,"Karasick, Paul"
90752,"Karen, Debra"
90866,"Karlsson, Steingrímur"
90880,"Karmel, Pip"
90933,"Karr, Gary (I)"
91120,"Kassovitz, Mathieu"
91135,"Kasten, Jeremy"
91189,"Kates, Brian A."
91327,"Katz, Virginia"
91464,"Kaurismäki, Mika"
91758,"Keaton, Buster"
91803,"Keefe, Tom (I)"
91890,"Kef, Jeanne"
91928,"Keil, Andrew"
91946,"Keir, Andy"
91992,"Kelber, Catherine"
91994,"Kelber, Kako"
92053,"Keller, Harry"
92164,"Kelley, Terry (I)"
92290,"Kelly, Michael (II)"
92435,"Kemper, Steven"
