actorid,name,sex
25913,"Alexander, Ricardo",M
25914,"Alexander, Richard (I)",M
25915,"Alexander, Richard (II)",M
25924,"Alexander, Richard D.",M
25939,"Alexander, Robert (I)",M
25941,"Alexander, Robert (IV)",M
25963,"Alexander, Roland",M
25964,"Alexander, Rolf",M
26027,"Alexander, Shane (I)",M
26048,"Alexander, Stan (I)",M
26078,"Alexander, T.S.",M
26088,"Alexander, Terry (I)",M
26146,"Alexander, Victor (IV)",M
26154,"Alexander, Wayne (I)",M
26374,"Alexandrov, Constantin",M
26446,"Alexeiew, Walerij J.",M
26452,"Alexi-Malle, Adam",M
26502,"Alexis, Alvin",M
26513,"Alexis, Demetrius",M
26567,"Alexsen, Andre",M
26610,"Alfano, Erasmus C.",M
26680,"Alfaro, Manny",M
26699,"Alfasa, Joe",M
26705,"Alfavo, Alberto",M
26761,"Alfieri, Giulio",M
26763,"Alfieri, Joseph (II)",M
26797,"Alfonsi, Claudio",M
26807,"Alfonso (III)",M
26855,"Alfonso, Kenny",M
26862,"Alfonso, Maquisard",M
26929,"Alford, Guy",M
26946,"Alford, Les",M
26962,"Alford, Phillip",M
27004,"Alfred, Jack",M
27042,"Alfredsson, Arnold",M
27105,"Algarawi, Ghanem",M
27106,"Algarawi, Jabir",M
27123,"Algañaraz, Pablo",M
27172,"Algoe, Randy",M
27174,"Algora, Francisco",M
27185,"Algoud, Stéphane",M
27256,"Alhegelan, Omar 'Freefly'",M
27333,"Ali Naderi, Ghorban",M
27599,"Ali, Mohammed (I)",M
27620,"Ali, Muhammad (I)",M
27725,"Ali, Shad",M
27754,"Ali, Sir",M
27781,"Ali, Waleed B.",M
27815,"Alia, Dritan",M
27835,"Aliaga, Ricardo",M
27840,"Alianak, Hrant",M
27854,"Alias, Bruno",M
27858,"Alias, José",M
28008,"Aliferis, Andrew",M
28025,"Alighiero, Carlo",M
28027,"Aligny, Christian",M
28059,"Alikhani, Seyed Karym",M
28232,"Aliseo, P.J.",M
28395,"Alié, René",M
28419,"Aljinovic, Boris",M
28441,"Alkabous, Gambo",M
28510,"Alkhadar, Sidi",M
28544,"Alkindi, Ali",M
28545,"Alkindi, Haider",M
28563,"Alkon, Sheldon",M
28663,"Allain, Jean (I)",M
28666,"Allain, Jean-Pierre",M
28674,"Allain-Marcus, Wade",M
28787,"Allan, Chick",M
28791,"Allan, Conrad (I)",M
28803,"Allan, Dick",M
28829,"Allan, Isaac",M
28838,"Allan, James (IV)",M
28863,"Allan, John Edward",M
28870,"Allan, Kirby",M
28906,"Allan, Phillip L.",M
28913,"Allan, Richard (I)",M
28919,"Allan, Richie",M
28928,"Allan, Roger (I)",M
28969,"Allan-Headley, Hamish",M
28976,"Alland, William",M
28994,"Allar, Daniel",M
29012,"Allard, Dennis",M
29081,"Allas, Peter",M
29095,"Allawati, Hassan",M
29152,"Alldredge, Michael",M
29171,"Alleff, Tony",M
29185,"Allegretti, Cosmo",M
29262,"Allen Jr., Rex",M
29290,"Allen, Alfie",M
29291,"Allen, Alfred",M
29311,"Allen, Anthony (I)",M
29334,"Allen, Arthur B.",M
29363,"Allen, Bernie (I)",M
29365,"Allen, Bill (IV)",M
29389,"Allen, Brad (I)",M
29449,"Allen, Carl (I)",M
29456,"Allen, Carlo",M
29457,"Allen, Carlo Perez",M
29466,"Allen, Chad E.",M
29491,"Allen, Chase (I)",M
29519,"Allen, Chris (XLII)",M
29572,"Allen, Clint (I)",M
29582,"Allen, Corey (I)",M
